                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.1172,                0.75158,                 1.1411,                0.79033,                0.73475,                0.79239,                0.47011,                 1.3247,                0.96307,                 1.2519,               0.006931,               0.006931,               0.006931
                     95,                  1.118,                0.75201,                  1.142,                0.78945,                0.73398,                0.79191,                0.47004,                 1.3247,                0.96371,                 1.2518,               0.006898,               0.006898,               0.006898
                     96,                 1.1206,                 0.7498,                  1.135,                0.79113,                0.73215,                0.79181,                0.46983,                 1.3256,                0.96343,                 1.2526,               0.006865,               0.006865,               0.006865
                     97,                  1.105,                0.74201,                 1.1347,                0.79066,                0.73094,                0.79114,                0.46973,                  1.326,                0.96485,                 1.2524,               0.006832,               0.006832,               0.006832
                     98,                 1.1063,                0.74311,                 1.1392,                0.78976,                0.73146,                0.79051,                0.46936,                 1.3251,                0.96409,                 1.2515,               0.006799,               0.006799,               0.006799
                     99,                 1.1031,                0.72888,                 1.1272,                0.78924,                0.73264,                0.79023,                0.46954,                  1.325,                0.96188,                 1.2519,               0.006766,               0.006766,               0.006766
                    100,                 1.1129,                0.73572,                 1.1361,                0.78694,                0.73411,                0.79003,                0.46974,                 1.3251,                0.95782,                 1.2517,               0.006733,               0.006733,               0.006733
                    101,                 1.0982,                0.72793,                 1.1258,                0.78913,                0.73388,                0.79082,                0.47008,                 1.3248,                0.95509,                 1.2516,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1057,                0.73664,                 1.1298,                0.79017,                0.73471,                0.79115,                0.47037,                 1.3245,                0.95156,                 1.2505,               0.006667,               0.006667,               0.006667
                    103,                 1.1001,                 0.7234,                 1.1299,                0.79129,                0.73295,                0.79096,                0.46995,                 1.3245,                0.94918,                 1.2502,               0.006634,               0.006634,               0.006634
                    104,                 1.0928,                0.72264,                 1.1222,                 0.7899,                 0.7354,                0.79088,                0.47013,                  1.325,                0.94626,                 1.2502,               0.006601,               0.006601,               0.006601
                    105,                 1.0843,                0.72369,                  1.119,                0.79115,                0.73522,                0.79084,                0.46997,                 1.3242,                0.94561,                 1.2504,               0.006568,               0.006568,               0.006568
                    106,                 1.0963,                0.72136,                 1.1246,                0.78618,                0.74107,                0.79113,                 0.4699,                 1.3239,                0.94349,                   1.25,               0.006535,               0.006535,               0.006535
                    107,                 1.0946,                0.71878,                 1.1277,                0.78805,                0.74028,                0.79149,                0.47058,                 1.3231,                0.94313,                 1.2488,               0.006502,               0.006502,               0.006502
                    108,                 1.0834,                0.71701,                 1.1215,                0.78765,                0.74003,                0.79099,                0.47035,                 1.3239,                0.94147,                 1.2493,               0.006469,               0.006469,               0.006469
                    109,                 1.0778,                0.71268,                 1.1185,                0.78983,                0.73846,                0.79101,                 0.4709,                  1.324,                0.94335,                 1.2495,               0.006436,               0.006436,               0.006436
                    110,                   1.08,                0.71151,                 1.1135,                0.78865,                0.73876,                0.79046,                0.47072,                 1.3241,                0.94319,                 1.2492,               0.006403,               0.006403,               0.006403
                    111,                 1.0861,                0.71739,                 1.1161,                 0.7895,                0.74069,                 0.7908,                0.47075,                 1.3242,                0.94426,                 1.2491,                0.00637,                0.00637,                0.00637
                    112,                 1.0756,                0.70651,                 1.1167,                0.78902,                0.74233,                0.79078,                0.47061,                 1.3252,                  0.943,                 1.2494,               0.006337,               0.006337,               0.006337
                    113,                 1.0819,                0.71443,                 1.1198,                0.79055,                0.74094,                0.79041,                 0.4706,                 1.3251,                0.94401,                 1.2493,               0.006304,               0.006304,               0.006304
                    114,                 1.0703,                0.71155,                 1.1108,                0.79074,                0.74068,                0.79027,                0.47036,                 1.3258,                0.94332,                 1.2496,               0.006271,               0.006271,               0.006271
                    115,                 1.0649,                0.70339,                 1.1144,                0.79075,                0.74129,                0.78993,                0.47041,                 1.3267,                0.94279,                 1.2499,               0.006238,               0.006238,               0.006238
                    116,                 1.0765,                0.70469,                 1.1168,                0.79065,                 0.7413,                   0.79,                0.47028,                 1.3274,                 0.9408,                 1.2504,               0.006205,               0.006205,               0.006205
                    117,                 1.0729,                0.70123,                 1.1157,                0.79119,                0.73998,                0.78992,                0.46967,                 1.3276,                0.93925,                   1.25,               0.006172,               0.006172,               0.006172
                    118,                 1.0724,                 0.6979,                 1.1113,                0.79129,                0.74203,                0.79003,                0.46974,                 1.3278,                0.93993,                 1.2499,               0.006139,               0.006139,               0.006139
                    119,                 1.0655,                0.69156,                 1.1113,                0.79175,                0.74141,                0.79017,                 0.4694,                 1.3289,                0.93593,                 1.2508,               0.006106,               0.006106,               0.006106
                    120,                 1.0763,                0.69561,                  1.107,                0.79162,                0.74038,                0.78938,                0.46964,                 1.3295,                0.93527,                 1.2511,               0.006073,               0.006073,               0.006073
                    121,                 1.0624,                0.69727,                 1.1085,                0.79369,                0.73956,                0.78976,                0.46971,                 1.3287,                0.93297,                 1.2506,                0.00604,                0.00604,                0.00604
                    122,                 1.0564,                0.67825,                 1.1053,                0.79536,                0.73814,                0.78918,                0.46965,                 1.3291,                0.93331,                 1.2512,               0.006007,               0.006007,               0.006007
                    123,                 1.0624,                0.68788,                 1.1067,                 0.7966,                0.73533,                0.78868,                0.46964,                 1.3274,                0.93438,                   1.25,               0.005974,               0.005974,               0.005974
                    124,                 1.0352,                0.68118,                 1.1027,                0.79382,                0.73787,                0.78857,                0.47021,                 1.3274,                 0.9338,                 1.2498,               0.005941,               0.005941,               0.005941
                    125,                  1.055,                0.68009,                 1.1018,                0.79372,                0.73729,                0.78834,                0.47013,                 1.3256,                0.93661,                  1.248,               0.005908,               0.005908,               0.005908
                    126,                 1.0513,                0.68309,                 1.0986,                0.79472,                 0.7386,                0.78896,                 0.4703,                 1.3245,                0.93397,                  1.248,               0.005875,               0.005875,               0.005875
                    127,                 1.0591,                0.68401,                 1.1013,                0.79447,                0.73827,                0.78845,                0.47018,                 1.3238,                0.93574,                 1.2476,               0.005842,               0.005842,               0.005842
                    128,                 1.0698,                0.69118,                  1.102,                0.79379,                0.73808,                0.78811,                0.47036,                 1.3242,                0.93506,                 1.2483,               0.005809,               0.005809,               0.005809
                    129,                  1.039,                0.67313,                 1.0934,                0.79492,                0.73761,                0.78796,                0.47011,                  1.325,                0.93354,                  1.249,               0.005776,               0.005776,               0.005776
                    130,                 1.0455,                0.67735,                 1.0999,                0.79479,                0.73807,                 0.7878,                0.47036,                 1.3248,                0.93314,                 1.2492,               0.005743,               0.005743,               0.005743
                    131,                 1.0415,                0.67476,                 1.0966,                0.79485,                0.73718,                0.78803,                0.47059,                 1.3249,                0.93176,                 1.2495,                0.00571,                0.00571,                0.00571
                    132,                 1.0415,                0.67452,                 1.0955,                0.79379,                0.73914,                0.78798,                0.47039,                 1.3252,                0.92939,                 1.2499,               0.005677,               0.005677,               0.005677
                    133,                 1.0408,                0.66362,                 1.0921,                0.79493,                0.73955,                0.78791,                0.47038,                 1.3264,                0.92993,                 1.2509,               0.005644,               0.005644,               0.005644
                    134,                 1.0412,                0.66828,                 1.0894,                 0.7961,                0.73935,                0.78836,                0.47038,                 1.3262,                0.93095,                 1.2512,               0.005611,               0.005611,               0.005611
                    135,                  1.034,                 0.6614,                  1.092,                0.79255,                0.74044,                0.78789,                0.47073,                 1.3273,                0.92873,                  1.252,               0.005578,               0.005578,               0.005578
                    136,                 1.0295,                0.66362,                 1.0908,                0.79615,                0.73868,                 0.7879,                0.47076,                 1.3276,                0.92769,                 1.2527,               0.005545,               0.005545,               0.005545
                    137,                 1.0415,                0.66923,                 1.0945,                0.80058,                0.73464,                0.78814,                0.47086,                 1.3285,                0.92893,                  1.253,               0.005512,               0.005512,               0.005512
                    138,                 1.0211,                0.65677,                  1.086,                0.79943,                0.73607,                0.78766,                0.47092,                  1.328,                0.93045,                 1.2529,               0.005479,               0.005479,               0.005479
                    139,                 1.0223,                0.65093,                  1.085,                0.79609,                0.73672,                0.78766,                0.47092,                 1.3281,                0.93233,                 1.2534,               0.005446,               0.005446,               0.005446
                    140,                 1.0297,                0.65974,                 1.0897,                0.79723,                0.73594,                0.78769,                0.47076,                 1.3287,                0.93093,                  1.254,               0.005413,               0.005413,               0.005413
                    141,                 1.0056,                0.64754,                 1.0798,                0.80014,                0.73427,                0.78813,                0.47102,                 1.3295,                0.92819,                  1.255,                0.00538,                0.00538,                0.00538
                    142,                 1.0208,                 0.6486,                 1.0884,                0.79527,                0.74017,                0.78796,                0.47087,                 1.3295,                0.92776,                 1.2547,               0.005347,               0.005347,               0.005347
                    143,                 1.0229,                0.65125,                  1.078,                0.79788,                0.73539,                0.78762,                 0.4708,                 1.3299,                0.92682,                 1.2552,               0.005314,               0.005314,               0.005314
                    144,                 1.0168,                0.65317,                 1.0816,                0.79449,                 0.7399,                0.78723,                 0.4709,                 1.3305,                0.92527,                 1.2563,               0.005281,               0.005281,               0.005281
                    145,                 1.0123,                0.65375,                 1.0792,                0.79683,                0.73685,                0.78679,                0.47061,                 1.3309,                0.92593,                 1.2572,               0.005248,               0.005248,               0.005248
                    146,                 1.0069,                0.63984,                  1.078,                0.79478,                0.73833,                0.78642,                0.47041,                 1.3318,                 0.9228,                 1.2586,               0.005215,               0.005215,               0.005215
                    147,                 1.0121,                0.65058,                 1.0772,                 0.7952,                 0.7382,                0.78629,                0.47003,                 1.3316,                0.92205,                 1.2583,               0.005182,               0.005182,               0.005182
                    148,                 1.0011,                0.64333,                 1.0728,                0.79371,                0.73913,                0.78629,                0.47031,                 1.3314,                0.92138,                 1.2579,               0.005149,               0.005149,               0.005149
                    149,                 1.0031,                0.65107,                 1.0748,                0.79457,                0.73864,                0.78557,                0.47059,                 1.3318,                0.92115,                 1.2584,               0.005116,               0.005116,               0.005116
                    150,                 1.0098,                0.64058,                 1.0778,                0.79238,                0.74038,                0.78587,                0.47047,                 1.3321,                0.91891,                 1.2588,               0.005083,               0.005083,               0.005083
                    151,                  1.001,                0.63527,                 1.0694,                  0.794,                0.73751,                0.78522,                0.47037,                 1.3339,                0.91219,                 1.2612,                0.00505,                0.00505,                0.00505
                    152,                 1.0006,                0.63375,                 1.0721,                0.79265,                0.73751,                0.78462,                0.47037,                 1.3346,                0.90868,                 1.2619,               0.005017,               0.005017,               0.005017
                    153,                0.99445,                 0.6305,                 1.0694,                0.79157,                 0.7369,                0.78403,                0.47019,                 1.3353,                0.90772,                 1.2626,               0.004984,               0.004984,               0.004984
                    154,                0.99251,                0.62325,                 1.0655,                0.78782,                0.74116,                0.78337,                0.46993,                 1.3344,                0.90647,                 1.2622,               0.004951,               0.004951,               0.004951
